Rank,ISO3,Country,Real Passport Index by GDP per capita,Normalized RPI
147,BEN,Benin,238450.85,8.41
148,COM,Comoros,221977.85,7.83
149,TCD,Chad,221568.85,7.82
150,MRT,Mauritania,221208.8,7.8
151,GNQ,Equatorial Guinea,218788.55,7.72
152,BTN,Bhutan,218758.19,7.72
153,GIN,Guinea,218321.22,7.70
154,KHM,Cambodia,217957.16,7.69
155,BFA,Burkina Faso,217296.95,7.67
156,NER,Niger,217005.08,7.66
157,EGY,"Egypt, Arab Rep.",212539.01,7.50
158,MLI,Mali,210698.97,7.43
159,LKA,Sri Lanka,208351.06,7.35
160,LBN,Lebanon,203931.7,7.2
161,LAO,Lao PDR,202875.02,7.16
162,LBR,Liberia,201065.83,7.09
163,DJI,Djibouti,193423.17,6.83
164,AGO,Angola,190918.53,6.74
165,IND,India,190260.73,6.71
166,SEN,Senegal,180659.25,6.37
167,JOR,Jordan,180432.76,6.37
168,KGZ,Kyrgyz Republic,179742.81,6.34
169,UZB,Uzbekistan,176723.43,6.24
170,GNB,Guinea-Bissau,174144.92,6.14
171,TGO,Togo,168084.09,5.93
172,TJK,Tajikistan,167073.45,5.90
173,MMR,Myanmar,162978.35,5.75
174,CMR,Cameroon,162268.18,5.73
175,CIV,Côte d'Ivoire,162061.76,
176,SSD,South Sudan,161109.44,
177,COG,"Congo, Rep.",159553.94,
178,BDI,Burundi,153701.22,
179,CAF,Central African Republic,152579.69,
180,COD,"Congo, Dem. Rep.",146544.32,
181,DZA,Algeria,143921.91,
182,BGD,Bangladesh,143526.57,
183,NPL,Nepal,140896.62,
184,ETH,Ethiopia,136588.86,
185,ERI,Eritrea,116247.31,4.10
186,TKM,Turkmenistan,111585.18,3.94
187,XKX,Kosovo,94717.55,3.34
188,IRN,"Iran, Islamic Rep.",93683.8,3.3
189,NGA,Nigeria,93481.55,3.30
190,SDN,Sudan,76413.46,2.70
191,PSE,West Bank and Gaza,76064.31,2.68
192,PAK,Pakistan,74905.54,2.64
193,LBY,Libya,69259.35,2.44
194,SOM,Somalia,53685.31,1.89
195,PRK,"Korea, Dem. People's Rep.",53385.16,1.88
196,YEM,"Yemen, Rep.",53133.95,1.87
197,IRQ,Iraq,48820.6,1.7
198,SYR,Syrian Arab Republic,47105.24,1.66
199,AFG,Afghanistan,28076.16,0.99
